time,open,high,low,close,Fast High,Fast Low,Fast High Max,Fast Low Max,Slow High,Slow Low,Slow High Max,Slow Low Max,Lower Fast High,Lower Fast Low,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Plot,Kijun-Sen line
2025-06-13T09:52:00+02:00,23548,23548,23533,23538,23481.261550977048,23464.857452247234,NaN,NaN,23451.617775077488,23438.54659991745,NaN,NaN,23481.261550977048,23464.857452247234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23500
2025-06-13T09:53:00+02:00,23541,23547,23535,23547,23483.253625189864,23466.982983997317,NaN,NaN,23452.28015163945,23439.2164151958,NaN,NaN,23483.253625189864,23466.982983997317,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23506
2025-06-13T09:54:00+02:00,23548,23550,23545,23549,23485.276242608354,23469.3471359974,NaN,NaN,23452.958761697508,23439.951023423604,NaN,NaN,23485.276242608354,23469.3471359974,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23506
2025-06-13T09:55:00+02:00,23550,23550,23538,23540,23487.237568589917,23471.42752581566,NaN,NaN,23453.63265918572,23440.631919094274,NaN,NaN,23487.237568589917,23471.42752581566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23506
2025-06-13T09:56:00+02:00,23540,23542,23530,23533,23488.897036208404,23473.202449275792,NaN,NaN,23454.24632127471,23441.25253076723,NaN,NaN,23488.897036208404,23473.202449275792,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23506
2025-06-13T09:57:00+02:00,23533,23538,23526,23534,23490.385004808148,23474.802375055315,NaN,NaN,23454.827944043634,23441.841054859124,NaN,NaN,23490.385004808148,23474.802375055315,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23511
2025-06-13T09:58:00+02:00,23531,23531,23519,23521,23491.615762238205,23476.141697023337,NaN,NaN,23455.35691665444,23442.376880867047,NaN,NaN,23491.615762238205,23476.141697023337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23511
2025-06-13T09:59:00+02:00,23518,23524,23511,23524,23492.597102776443,23477.19800923475,NaN,NaN,23455.83360473323,23442.85343030547,NaN,NaN,23492.597102776443,23477.19800923475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23511
2025-06-13T10:00:00+02:00,23524,23534,23524,23530,23493.85173602564,23478.616251379153,NaN,NaN,23456.376426922583,23443.41694815057,NaN,NaN,23493.85173602564,23478.616251379153,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23512.5
2025-06-13T10:01:00+02:00,23538,23557,23538,23554,23495.76531978244,23480.415758913117,NaN,NaN,23457.07520173562,23444.073774899523,NaN,NaN,23495.76531978244,23480.415758913117,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23520.5
2025-06-13T10:02:00+02:00,23554,23569,23550,23560,23497.984552516307,23482.524372279386,NaN,NaN,23457.85245727912,23444.80937368494,NaN,NaN,23497.984552516307,23482.524372279386,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23533
2025-06-13T10:03:00+02:00,23562,23569,23557,23560,23500.13653577339,23484.78120948304,NaN,NaN,23458.62431521468,23445.588475256573,NaN,NaN,23500.13653577339,23484.78120948304,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23533.5
2025-06-13T10:04:00+02:00,23560,23565,23543,23545,23502.102095295406,23486.54541525628,NaN,NaN,23459.363035247912,23446.2649441784,NaN,NaN,23502.102095295406,23486.54541525628,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23538
2025-06-13T10:05:00+02:00,23546,23555,23543,23555,23503.705062104636,23488.256160248515,NaN,NaN,23460.027180836467,23446.936715399384,NaN,NaN,23503.705062104636,23488.256160248515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23538
2025-06-13T10:06:00+02:00,23559,23567,23554,23558,23505.623090525707,23490.24839781674,NaN,NaN,23460.770047636215,23447.680210431332,NaN,NaN,23505.623090525707,23490.24839781674,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23539.5
2025-06-13T10:07:00+02:00,23558,23559,23554,23556,23507.240572630988,23492.180264549566,NaN,NaN,23461.452200083186,23448.418542303334,NaN,NaN,23507.240572630988,23492.180264549566,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23539.5
2025-06-13T10:08:00+02:00,23552,23556,23546,23550,23508.71813103611,23493.81116562382,NaN,NaN,23462.10878202705,23449.096191315115,NaN,NaN,23508.71813103611,23493.81116562382,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23539.5
2025-06-13T10:09:00+02:00,23551,23553,23547,23553,23510.060005853196,23495.422948483705,NaN,NaN,23462.73997104075,23449.776078875424,NaN,NaN,23510.060005853196,23495.422948483705,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23539.5
2025-06-13T10:10:00+02:00,23552,23558,23543,23548,23511.512732948555,23496.86467731753,NaN,NaN,23463.401499019634,23450.423467216566,NaN,NaN,23511.512732948555,23496.86467731753,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23539.5
2025-06-13T10:11:00+02:00,23547,23550,23541,23542,23512.679013768295,23498.20211133821,NaN,NaN,23464.002877498664,23451.052470916453,NaN,NaN,23512.679013768295,23498.20211133821,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23539.5
2025-06-13T10:12:00+02:00,23542,23561,23540,23555,23514.143286078346,23499.46871402493,NaN,NaN,23464.676468627145,23451.670162090642,NaN,NaN,23514.143286078346,23499.46871402493,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23539.5
2025-06-13T10:13:00+02:00,23559,23561,23551,23555,23515.563186500214,23501.030268145387,NaN,NaN,23465.345382039457,23452.35995263168,NaN,NaN,23515.563186500214,23501.030268145387,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23539.5
2025-06-13T10:14:00+02:00,23557,23559,23554,23554,23516.879453575966,23502.63541153492,NaN,NaN,23465.99576133085,23453.06578629396,NaN,NaN,23516.879453575966,23502.63541153492,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23539.5
